Number,Date,Truck,Length,Route,Ref,Price,BAF,Voucher,INVOICE
1,09.02.2012,AB 06 CBG  ,16.5,CA - DO,CA19317174           ,145,13.56,141891,246.00 €
2,09.02.2012,AB 06 CBG  ,16.5,DO - CA,DO22859499           ,145,13.56,141892,246.00 €
3,09.02.2012,AB 07 POB ,6,CA - DO,CA19317259           ,80,13.56,141895,246.00 €
4,09.02.2012,AB 07 POB        ,6,DO - CA,DO22859609           ,80,13.56,141896,246.00 €
5,10.02.2012,MH78HAM,6,DO - CA,DO22864131,80,13.56,141951,246.00 €
6,10.02.2012,B 172 ALI ,6,DO - CA,DO22865502,80,13.56,141952,246.00 €
7,15.02.2012,B 110 LUM ,6,CA - DO,CA19326425,0,0,,
8,19.02.2012,IF 08 TDs,16.5,CA - DO,CA19333598,145,13.56,141953,314.00 €
9,20.02.2012,SB 30 GEP,16.5,CA - DO,CA19334964,145,13.56,141954,314.00 €
10,20.02.2012,SB 30 GEP,16.5,DO - CA,DO22885564,145,13.56,141955,314.00 €
11,21.02.2012,IF 08 TDs,16.5,DO - CA,DO22888522,145,13.56,141956,314.00 €
12,23.02.2012,AB 07 RKG,16.5,CA - DO,CA19340934,145,13.56,141957,314.00 €
13,24.02.2012,MS33COT,16.5,CA - DO,CA19344458,145,13.56,141958,314.00 €
14,24.02.2012,MH 78 HAM ,6,DO - CA,DO22899180,85,13.56,141959,314.00 €
15,27.02.2012,IF 11 TDS,16.5,CA - DO,CA19346774,145,13.56,141960,314.00 €
16,27.02.2012,AB 07 RKG,16.5,DO - CA,DO22905348,145,13.56,141961,314.00 €
17,29.02.2012,AG 15 VLX,16.5,CA - DO, CA19351856,145,13.56,141962,444.00 €
18,29.02.2012,AG 15 VLX,16.5,DO - CA, DO22910101,145,13.56,141963,444.00 €
19,01.03.2011,IF 11 TDS,16.5,DO - CA,DO22913414,145,13.56,141964,444.00 €
20,02.03.2012,MH78HAM,6,DO - CA,DO22917581,80,15,141965,444.00 €
21,07.03.2012,NT 08 UAH ,16.5,CA - DO,CA19363916,145,15,141966,444.00 €
22,07.03.2012,NT 08 UAH ,16.5,DO - CA,DO22927195,145,15,141967,444.00 €
23,07.03.2012,MS33COT,16.5,DO - CA,DO22927405,145,15,141968,444.00 €
24,07.03.2012,IF 08 TDS,16.5,CA - DO,CA19358483,145,15,,444.00 €
25,07.03.2012,IF 08 TDS,16.5,DO - CA,DO22928625,145,15,141969,444.00 €
26,08.03.2012,B 974 ELT,6,CA - DO,CA19366204,80,15,141970,444.00 €
27,08.03.2012,B 974 ELT,6,DO - CA,DO22930337,80,15,141971,444.00 €
28,09.03.2012,HD 10 RRV,16.5,CA - DO,CA19367589     ,145,15,141972,444.00 €
29,09.03.2012,HD 10 RRV,16.5,DO - CA, DO22932547    ,145,15,141973,444.00 €
30,09.03.2012,SJ 04 BCA,16.5,CA - DO,CA19368095,145,15,141974,444.00 €
31,09.03.2012,SJ 04 BCA,16.5,DO - CA,DO22933127,145,15,141975,444.00 €
32,09.03.2012,B 17 UPD,6,CA - DO,CA19370315,80,15,141976,444.00 €
33,09.03.2012,B 17 UPD,6,DO - CA,DO22936411,80,15,141977,514.00 €
34,12.03.2012,IF 11 TDS,16.5,CA - DO,CA19372481,145,15,141978,444.00 €
35,12.03.2012,IF 11 TDS,16.5,DO - CA,DO22944497,145,15,141979,514.00 €
36,14.03.2012,AB 20 BTZ,6,DO - CA,DO22947144,80,15,141980,444.00 €
37,19.03.2012,SB 30 GEP,16.5,CA - DO,CA19385652,145,15,141981,514.00 €
38,19.03.2012,SB 30 GEP,16.5,DO - CA,DO22957807,145,15,141982,514.00 €
39,19.03.2012,IF 08 TDs,16.5,CA - DO,CA19385664,145,15,141983,514.00 €
40,19.03.2012,IF 08 TDs,16.5,DO - CA,      DO22965371           ,145,15,141984,514.00 €
41,23.03.2012,VL 01 FOX,6,DO - CA,DO22972411,80,15,141985,514.00 €
42,23.03.2012,VL 02 FOX,6,DO - CA,DO22972412,80,15,141986,514.00 €
43,24.03.2012,B-87-TDX,16,CA - DO, CA19396211,145,15,141987,514.00 €
44,24.03.2012,B-87-TDX,16,DO - CA,,145,15,141988,
45,26.03.2012,IF 11 TDS,16,CA - DO,CA19398813,145,15,141989,514.00 €
46,26.03.2012,IF 11 TDS,16,DO - CA, DO22983979,145,15,141990,514.00 €
47,30.03.2012,NT 08 UAH,16,CA - DO,CA19407055,145,15,141991,663.00 €
48,30.03.2012,NT 08 UAH,16,DO - CA,DO22988448,145,15,141992,663.00 €
49,30.03.2012,BC 05 UVS,16,CA - DO,CA19407067,145,15,141993,514.00 €
50,02.04.2012,IF 08 TDs,16,CA - DO,CA19411011,145,15,141994,663.00 €
51,01.04.2012,IS 38 GIA,6,CA - DO,  CA19410956,80,15,141995,663.00 €
52,02.04.2012,CJ 42 RZV,16,CA - DO,CA19413500,145,17.4,141996,663.00 €
53,04.04.2012,B 94 WNX,6,DO - CA,DO23000646,80,17.4,141997,663.00 €
54,04.04.2012,B 152 FOX,6,CA - DO,CA19415896,80,17.4,141998,663.00 €
55,04.04.2012,SM 39 FLY,6,CA - DO,CA19416221,80,17.4,141999,663.00 €
56,04.04.2012,VL 10 DGT ,6,DO - CA,DO23001822,80,17.4,142000,663.00 €
57,04.04.2012,IF 08 TDS,16,DO - CA,DO23001834,145,17.4,147351,663.00 €
